"Name","Size (bytes)","QC status","Times scheduled","Version","Duration","TC In","Created","Updated"
"oopsla21main-p130-p-video","252648440","OK","0","3","0:13:56.29","0:00:00.00","2021-10-09T01:16:00","2021-10-09T01:25:37"
"oopsla21main-p119-p-video","228102152","OK","0","3","0:14:50.27","0:00:00.00","2021-10-09T01:14:54","2021-10-09T01:24:05"
"oopsla21main-p121-p-video","285166108","OK","0","3","0:13:57.09","0:00:00.00","2021-10-09T01:14:59","2021-10-09T01:23:05"
"oopsla21main-p117-p-video","339006153","OK","0","3","0:14:58.23","0:00:00.00","2021-10-09T01:14:51","2021-10-09T01:22:11"
"oopsla21main-p101-p-video","302045576","OK","0","3","0:15:00.08","0:00:00.00","2021-10-09T01:14:32","2021-10-09T01:21:15"
"oopsla21main-p107-p-video","206289227","OK","0","3","0:14:40.29","0:00:00.00","2021-10-09T01:14:42","2021-10-09T01:20:22"
"onward21papers-p3-p-video","213594620","OK","0","3","0:14:27.00","0:00:00.00","2021-10-09T01:14:24","2021-10-09T01:19:00"
"onward21papers-p7-p-video","202658076","OK","0","3","0:14:47.27","0:00:00.00","2021-10-09T01:12:42","2021-10-09T01:17:45"
"onward21papers-p12-p-video","209640368","OK","0","3","0:13:36.18","0:00:00.00","2021-10-09T01:10:48","2021-10-09T01:16:06"
"onward21papers-p10-p-video","204617004","OK","0","3","0:14:50.11","0:00:00.00","2021-10-09T01:08:23","2021-10-09T01:14:39"
"onward21papers-p13-p-video","171317259","OK","0","3","0:12:27.15","0:00:00.00","2021-10-09T01:10:49","2021-10-09T01:14:33"
"onward21essays-id4-p-video","568632528","OK","0","3","0:34:05.11","0:00:00.00","2021-10-09T01:06:26","2021-10-09T01:12:26"
"onward21papers-p11-p-video","171946844","OK","0","3","0:11:28.00","0:00:00.00","2021-10-09T01:07:43","2021-10-09T01:12:11"
"onward21essays-id2-p-video","246481723","OK","0","3","0:15:59.07","0:00:00.00","2021-10-09T01:02:27","2021-10-09T01:03:05"
